carrier,from_airport,to_airport,,long,lat,wac
SW,Ornskoldsvik,ESNO,,18.990039,63.408339,354
SW,Arboga,ESQO,,15.924055,59.386585,33
SW,Borlange,ESSD,,15.515211,60.422017,503
SW,Sveg,ESND,,14.42295,62.047811,1178
SW,Sundsvall Harnosand,ESNN,,17.443928,62.528125,16
SW,Ronneby,ESDF,,15.265,56.266667,191
SW,Ljungbyhed,ESTL,,13.2125,56.082779,140
SW,Kristianstad,ESMK,,14.085536,55.921686,76
SW,Sturup,ESMS,,13.371639,55.530193,236
SW,Bromma,ESSB,,17.94165,59.354372,47
SW,Umea,ESNU,,20.282758,63.791828,24
SW,Vidsel,ESPE,,20.149917,65.875325,597
SW,Trollhattan Vanersborg,ESGT,,12.345,58.318056,137
SW,Kalixfors,ESUK,,20.257228,67.764789,1549
SW,Gallivare,ESNG,,20.814636,67.132408,1027
SW,Arlanda,ESSA,,17.918611,59.651944,137
SW,Landvetter,ESGG,,12.279819,57.662836,506
SW,Arvika,ESKV,,12.639442,59.675856,237
SW,Karlskoga,ESKK,,14.495922,59.345867,400
SW,Optand,ESNM,,14.802778,63.128611,1236
SW,Ostersund,ESNZ,,14.502008,63.194125,1233
SW,Torsby,ESST,,12.991269,60.157622,393
SW,Orsa,ESNR,,14.712567,61.190033,683
SW,Angelholm,ESTA,,12.847139,56.296072,68
SW,Jonkoping,ESGJ,,14.068731,57.757594,741
SW,Rada,ESFR,,13.053231,58.498136,230
SW,Hultsfred,ESSF,,15.823333,57.525833,366
SW,Kramfors Solleftea,ESNK,,17.768856,63.048597,34
SW,Orebro,ESOE,,15.037956,59.223733,188
SW,Malmen,ESCF,,15.525683,58.402278,308
SW,Mora,ESKM,,14.511383,60.957908,634
SW,Halmstad,ESMT,,12.820211,56.691128,101
SW,Lidkoping,ESGL,,13.174414,58.465522,200
SW,Skovde,ESGR,,13.972672,58.4564,324
SW,Bravalla,ESCK,,16.103592,58.610867,90
SW,Sattna,ESNT,,17.002917,62.481369,886
SW,Skavsta,ESKN,,16.912189,58.788636,140
SW,Save,ESGP,,11.870372,57.774722,59
SW,Vilhelmina,ESNV,,16.833575,64.579083,1140
SW,Hedlanda,ESNC,,13.747222,62.408889,1460
SW,Hagshult,ESMV,,14.137222,57.292222,556
SW,Jokkmokk,ESNJ,,20.147181,66.496236,904
SW,Karlsborg,ESIA,,14.507119,58.513842,308
SW,Satenas,ESIB,,12.714389,58.426445,181
SW,Anderstorp,ESMP,,13.599439,57.264167,507
SW,Uppsala,ESCM,,17.588581,59.897328,68
SW,Skelleftea,ESNS,,21.076892,64.624772,157
SW,Feringe,ESMG,,13.921667,56.950278,538
SW,Kallax,ESPA,,22.121989,65.543758,65
SW,Lycksele,ESNL,,18.716219,64.548322,705
SW,Oskarshamn,ESMO,,16.497972,57.350453,96
SW,Emmaboda,ESMA,,15.604761,56.610761,442
SW,Kiruna,ESNQ,,20.336764,67.821986,1508
SW,Hallviken,ESNA,,15.458333,63.738333,1119
SW,Barkarby,ESKB,,17.890694,59.418694,50
SW,Vasteras,ESOW,,16.633611,59.589444,21
SW,Landskrona,ESML,,12.869444,55.944444,194
SY,Abu Ad Duhur,OS57,,37.104214,35.732164,846
SY,Hamah,OS58,,36.711186,35.118156,1014
